Source,Target,Type,id,label,timeset,weight
燃烧,海水,Undirected,96493,,,3.0
大气污染,废水,Undirected,96498,,,2.0
石油,氧气,Undirected,96507,,,2.0
钻石,能源,Undirected,96533,,,1.0
玻璃,石油,Undirected,96540,,,6.0
燃烧,钢铁,Undirected,96543,,,3.0
金,族,Undirected,96555,,,2.0
化肥,合成,Undirected,96560,,,1.0
含量,电子,Undirected,96561,,,4.0
发酵,化肥,Undirected,96569,,,3.0
腐蚀,化肥,Undirected,96575,,,1.0
空气质量,太阳能,Undirected,96579,,,1.0
核反应堆,燃烧,Undirected,96589,,,1.0
铀,取样,Undirected,96592,,,1.0
能源,液体,Undirected,96595,,,1.0
塑料,玻璃,Undirected,96596,,,7.0
腐蚀,分解,Undirected,96599,,,2.0
化学,电子,Undirected,96608,,,3.0
金,水分,Undirected,96612,,,5.0
太阳能,电池,Undirected,96620,,,8.0
周期性,成分,Undirected,96623,,,3.0
合成,能源,Undirected,96626,,,2.0
煤气,焚烧,Undirected,96629,,,2.0
燃料,汽油,Undirected,96638,,,6.0
煤,太阳能,Undirected,96646,,,2.0
沉淀,燃烧,Undirected,96648,,,1.0
分子,发酵,Undirected,96652,,,11.0
燃料,化肥,Undirected,96661,,,1.0
DNA,精度,Undirected,96667,,,1.0
燃料,核能,Undirected,96674,,,1.0
燃料,液体,Undirected,96675,,,2.0
分子,银,Undirected,96677,,,4.0
金,水泥,Undirected,96680,,,3.0
过滤,汽油,Undirected,96687,,,2.0
碳,铁矿石,Undirected,96688,,,1.0
气体,钢铁,Undirected,96690,,,1.0
金,电池,Undirected,96691,,,2.0
有机物,燃烧,Undirected,96708,,,4.0
PM2.5,成分,Undirected,96711,,,6.0
能量,电池,Undirected,96716,,,5.0
矿泉水,有机物,Undirected,96730,,,1.0
化学物质,盐,Undirected,96742,,,1.0
废水,海水,Undirected,96752,,,1.0
燃料,燃烧,Undirected,96762,,,5.0
大气污染,重金属,Undirected,96769,,,2.0
金,氧气,Undirected,96776,,,4.0
腐蚀,海水,Undirected,96782,,,2.0
能量,原子弹,Undirected,96800,,,1.0
大气污染,燃料,Undirected,96805,,,4.0
焚烧,能源,Undirected,96806,,,2.0
化肥,天然气,Undirected,96814,,,1.0
海水,油气,Undirected,96825,,,5.0
发酵,煤,Undirected,96840,,,2.0
盐,海水,Undirected,96842,,,2.0
分子,回流,Undirected,96843,,,7.0
燃料,能源,Undirected,96850,,,8.0
合成,电子,Undirected,96851,,,3.0
塑料,废水,Undirected,96858,,,1.0
焚烧,水,Undirected,96859,,,8.0
天然气,钢铁,Undirected,96861,,,3.0
水,取样,Undirected,96884,,,5.0
石油,水泥,Undirected,96892,,,9.0
金,碳,Undirected,96917,,,6.0
铀,燃料,Undirected,96919,,,4.0
电子,族,Undirected,96930,,,2.0
天然,盐,Undirected,96931,,,1.0
钢铁,核能,Undirected,96933,,,2.0
空气质量,气体,Undirected,96934,,,4.0
铀,核能,Undirected,96956,,,1.0
营养,水污染,Undirected,96959,,,1.0
碳,温室气体,Undirected,96970,,,19.0
能量,钢铁,Undirected,96971,,,2.0
氰化物,海水,Undirected,96996,,,5.0
化学,液体,Undirected,97005,,,7.0
大气污染,煤,Undirected,97007,,,4.0
金,钢铁,Undirected,97012,,,5.0
能量,天然,Undirected,97018,,,6.0
金,竞争性,Undirected,97026,,,3.0
有机物,海水,Undirected,97032,,,2.0
氰化物,空气质量,Undirected,97033,,,9.0
玻璃,升华,Undirected,97036,,,2.0
氰化物,氰化钠,Undirected,97054,,,9.0
石油,水,Undirected,97065,,,10.0
空气质量,氮氧化物,Undirected,97077,,,8.0
