Id,Label,度
黑液,黑液,1
回收率,回收率,2
水循环,水循环,2
协同作用,协同作用,1
减量化,减量化,3
环境标准,环境标准,4
尾矿,尾矿,2
垃圾资源,垃圾资源,1
液体燃料,液体燃料,2
空气监测,空气监测,3
食用碘盐,食用碘盐,1
法拉,法拉,2
空气压缩机,空气压缩机,3
燃烧室,燃烧室,2
吸收热,吸收热,2
试纸,试纸,6
温降,温降,1
草木灰,草木灰,1
水冷却,水冷却,5
结构特点,结构特点,2
相关分析,相关分析,1
放射性污染,放射性污染,10
二氧化氮,二氧化氮,1
放射能测定,放射能测定,1
抗腐蚀,抗腐蚀,3
核裂变,核裂变,8
水浴加热,水浴加热,1
黏合剂,黏合剂,4
明胶,明胶,2
当量,当量,10
新型能源,新型能源,2
辐射剂量,辐射剂量,6
钍,钍,3
钋,钋,1
浓度浓缩,浓度浓缩,1
氰化钾,氰化钾,1
氡气,氡气,1
含氮量,含氮量,2
放射性废物,放射性废物,3
白糖,白糖,4
熔炉,熔炉,5
白雾,白雾,2
可卡因,可卡因,1
咖啡因,咖啡因,1
神经递质,神经递质,2
金箔,金箔,4
乳清蛋白,乳清蛋白,2
活度,活度,5
热膨胀,热膨胀,1
甲灭酸,甲灭酸,1
过滤池,过滤池,2
扩散过程,扩散过程,1
核素,核素,3
蒸发残渣,蒸发残渣,1
荧光增白剂,荧光增白剂,1
甲苯,甲苯,1
洗煤,洗煤,1
贫煤,贫煤,1
产率,产率,1
狄拉克,狄拉克,1
碘酸钾,碘酸钾,1
断层扫描,断层扫描,2
脂肪酸,脂肪酸,3
吡嗪,吡嗪,1
结构分析,结构分析,3
阿奇霉素,阿奇霉素,1
左氧氟沙星,左氧氟沙星,1
头孢氨苄,头孢氨苄,1
低血糖,低血糖,3
转动能,转动能,1
减压阀,减压阀,4
链转移,链转移,1
胺钠,胺钠,1
抗氧化,抗氧化,2
水溶性,水溶性,3
化工原料,化工原料,5
克劳修斯,克劳修斯,1
热力学,热力学,1
玻尔兹曼,玻尔兹曼,1
普朗克,普朗克,2
红血球,红血球,1
低合金,低合金,1
PH,PH,1
镍氢电池,镍氢电池,1
山梨酸,山梨酸,1
双盲试验,双盲试验,1
环己基氨基磺酸钠,环己基氨基磺酸钠,1
糖精,糖精,3
不饱和脂肪酸,不饱和脂肪酸,1
矿物元素,矿物元素,2
山梨酸钾,山梨酸钾,3
等离子体,等离子体,2
结构设计,结构设计,6
脂溶性维生素,脂溶性维生素,1
物质的量,物质的量,1
油燃烧,油燃烧,2
摩尔,摩尔,4
纳米材料,纳米材料,1
凝集素,凝集素,1
有效面积,有效面积,1
云青,云青,2
稳定化,稳定化,1
高分子聚合物,高分子聚合物,1
水泥浆,水泥浆,2
烟酸,烟酸,1
萃取液,萃取液,1
气化率,气化率,1
雌激素,雌激素,3
普拉雄酮,普拉雄酮,1
生物碱,生物碱,1
可待因,可待因,1
右美沙芬,右美沙芬,1
蒸汽发生器,蒸汽发生器,1
过滤器,过滤器,5
融合剂,融合剂,1
槲皮素,槲皮素,1
对苯二酚,对苯二酚,2
聚二甲基硅氧烷,聚二甲基硅氧烷,2
黄酮类,黄酮类,2
全合成,全合成,1
磷酸盐,磷酸盐,2
氢能,氢能,2
遮光板,遮光板,1
硅,硅,2
化学过程,化学过程,3
液态,液态,3
冷凝器,冷凝器,1
过敏反应,过敏反应,1
硅纳米,硅纳米,1
精练,精练,2
液化气,液化气,3
重油,重油,2
烷基苯,烷基苯,1
温度计,温度计,5
热效率,热效率,1
多功能性,多功能性,1
熔融,熔融,2
甘醇,甘醇,2
铝箔,铝箔,1
氢键,氢键,1
化学原理,化学原理,2
实验步骤,实验步骤,1
后沉淀,后沉淀,1
称量,称量,2
乙基,乙基,2
麦芽酚,麦芽酚,2
柠檬酸,柠檬酸,2
左氟沙星,左氟沙星,1
帕珠沙星,帕珠沙星,1
冷却塔,冷却塔,3
显影剂,显影剂,1
雄激素,雄激素,1
甲基化,甲基化,1
基本单位,基本单位,1
含硫量,含硫量,2
电泳,电泳,1
配位化合物,配位化合物,1
物理性质,物理性质,1
金属配合物,金属配合物,1
乳酸,乳酸,3
导电性,导电性,1
噻嗪,噻嗪,1
氯丙嗪,氯丙嗪,1
亮蓝,亮蓝,2
堆肥,堆肥,1
电镍,电镍,1
硫化,硫化,1
合金钢,合金钢,1
硫化镍,硫化镍,1
碳酸钴,碳酸钴,1
炉渣,炉渣,1
酊,酊,1
有毒化学品,有毒化学品,1
有机合成,有机合成,3
连续操作,连续操作,1
水溶液,水溶液,1
伟晶岩,伟晶岩,1
碱性,碱性,2
酸斋,酸斋,1
轻质油,轻质油,1
卤,卤,3
苯丙酮尿症,苯丙酮尿症,1
湿法,湿法,2
自然通风,自然通风,1
去污染,去污染,2
二恶烷,二恶烷,1
铵盐,铵盐,1
麻黄碱,麻黄碱,2
麻黄碱类,麻黄碱类,1
酸雨,酸雨,4
非金属,非金属,1
分析法,分析法,2
钠,钠,2
奥美拉唑,奥美拉唑,2
