Id,Label,度
矿石,矿石,14
冶炼,冶炼,15
钼,钼,4
丝,丝,3
冷却器,冷却器,1
大分子,大分子,3
甘蔗,甘蔗,4
红宝石,红宝石,2
增强体,增强体,1
海洛因,海洛因,11
电子气,电子气,2
石油提炼,石油提炼,2
染色,染色,5
孔雀石绿,孔雀石绿,2
轻质油,轻质油,1
全分析,全分析,4
中位数,中位数,5
裂化,裂化,2
环境科学,环境科学,20
裂变,裂变,8
碱性,碱性,1
黑火药,黑火药,2
低温冰冻,低温冰冻,1
矿物,矿物,6
光电子,光电子,5
泡沫箱,泡沫箱,1
反射率,反射率,2
透射率,透射率,1
化学纤维,化学纤维,2
金属材料,金属材料,6
天然纤维,天然纤维,2
线型,线型,3
景泰蓝,景泰蓝,3
化学需氧量,化学需氧量,10
对称性,对称性,4
化学工业,化学工业,4
导电性,导电性,2
酵母,酵母,10
磷酸铵,磷酸铵,2
镁,镁,9
培养皿,培养皿,3
试管架,试管架,3
试管,试管,6
沃尔,沃尔,6
贵金属,贵金属,3
陨石,陨石,2
枸橼酸,枸橼酸,2
乳糖,乳糖,3
酒石酸,酒石酸,3
碳酸气,碳酸气,1
洗脱,洗脱,2
喷出岩,喷出岩,2
玄武岩,玄武岩,4
岩浆,岩浆,2
离子交换,离子交换,2
毛细管电泳,毛细管电泳,2
电化学发光,电化学发光,2
极谱仪,极谱仪,1
一价,一价,1
镍,镍,5
滴滴涕,滴滴涕,5
苯胺,苯胺,3
凝血,凝血,2
转运蛋白,转运蛋白,2
铸铁,铸铁,3
激素,激素,6
缓冲剂,缓冲剂,1
电子学,电子学,6
磁铁,磁铁,7
麻黄碱,麻黄碱,1
稀有金属,稀有金属,2
稀土,稀土,18
试纸,试纸,3
背景辐射,背景辐射,4
生物燃料,生物燃料,4
食用油,食用油,7
棉籽油,棉籽油,2
基本单位,基本单位,2
干法,干法,4
棉,棉,11
高炉矿渣,高炉矿渣,2
植物油,植物油,2
煤质,煤质,4
生铁,生铁,3
铁矿石,铁矿石,10
抗氧化,抗氧化,2
胍,胍,3
再生利用,再生利用,1
苎麻,苎麻,1
泛酸,泛酸,1
吸收能量,吸收能量,1
镀锌钢板,镀锌钢板,2
黏土,黏土,3
前体,前体,6
放电,放电,7
无机材料,无机材料,2
葡萄糖,葡萄糖,8
营养素,营养素,4
角质化,角质化,1
燃烧器,燃烧器,2
重油,重油,5
页岩油,页岩油,6
胶质,胶质,1
多普勒效应,多普勒效应,4
芳香胺,芳香胺,2
维持费,维持费,1
实验步骤,实验步骤,2
标准条件,标准条件,1
烟气分析,烟气分析,2
气体分析仪,气体分析仪,1
膜分离,膜分离,2
硼砂,硼砂,2
普朗克,普朗克,2
波高,波高,1
炭黑,炭黑,5
副产品,副产品,9
密码学,密码学,3
脂肪含量,脂肪含量,2
一氧化碳,一氧化碳,6
计算机模拟,计算机模拟,3
支原体,支原体,1
干冰,干冰,4
橡胶,橡胶,16
滴定管,滴定管,1
熔岩,熔岩,2
浊度,浊度,2
柏油,柏油,9
萃取剂,萃取剂,2
黏度比,黏度比,1
临界值,临界值,3
免疫性,免疫性,2
硅胶,硅胶,4
核桃油,核桃油,2
维里,维里,1
粘土,粘土,5
碳酸钙,碳酸钙,4
定性分析,定性分析,1
波长,波长,4
脂,脂,2
油渣,油渣,2
固体物质,固体物质,5
二氧化氮,二氧化氮,5
剑麻,剑麻,2
双螺旋,双螺旋,6
锈,锈,1
淬火,淬火,5
石灰窑,石灰窑,3
科里,科里,2
卫生填埋,卫生填埋,1
拉德,拉德,1
标定,标定,6
钒,钒,2
氟,氟,8
钴,钴,4
汞,汞,11
浸润,浸润,14
软木,软木,1
放射性物质,放射性物质,5
微环境,微环境,2
原子序数,原子序数,2
称量,称量,3
糖化,糖化,4
甲基苯,甲基苯,2
光气,光气,2
聚酯,聚酯,3
氰化物,氰化物,4
对二甲苯,对二甲苯,3
氨气,氨气,7
基本粒子,基本粒子,7
青铜,青铜,3
硫酸根,硫酸根,2
酸雾,酸雾,2
放射性污染,放射性污染,4
玻璃纤维,玻璃纤维,5
氨氮含量,氨氮含量,1
被氧化,被氧化,2
微粒,微粒,6
陶器,陶器,3
炉煤气,炉煤气,1
磷酸化,磷酸化,2
转导蛋白,转导蛋白,2
水循环,水循环,4
热膨胀,热膨胀,2
纺织工业,纺织工业,2
离心泵,离心泵,2
有机化学,有机化学,3
波尔,波尔,3
顺位,顺位,1
固氮作用,固氮作用,2
生物碱,生物碱,5
双酚A,双酚A,3
沉淀物,沉淀物,4
有机氯,有机氯,2
助剂,助剂,4
变性,变性,5
絮凝剂,絮凝剂,2
脱胶,脱胶,1
核苷,核苷,1
电化学,电化学,4
结构单元,结构单元,2
组蛋白,组蛋白,2
核小体,核小体,2
光学显微镜,光学显微镜,2
结构分析,结构分析,2
碱基,碱基,2
精细结构,精细结构,2
碱基对,碱基对,2
超螺旋,超螺旋,2
螺旋体,螺旋体,1
水封,水封,1
压缩空气,压缩空气,4
氯气,氯气,2
碘,碘,4
钇,钇,2
压滤机,压滤机,2
硫丹,硫丹,2
开蓬,开蓬,2
脑脊膜,脑脊膜,1
