Source,Target,Type,Id,Label,Weight
放电,二甲基亚砜,Undirected,20896,,2.0
风能,核能,Undirected,21061,,1.0
蓝宝石,放射性,Undirected,20901,,2.0
大麻,毒品,Undirected,21057,,1.0
糖精,半衰期,Undirected,21062,,1.0
乙烷,液体,Undirected,21064,,1.0
蜂毒,肉毒杆菌毒素,Undirected,21065,,1.0
碱基对,粒子,Undirected,20909,,1.0
核酸酶,中微子,Undirected,20910,,1.0
酶,X射线,Undirected,20912,,2.0
X射线,粒子,Undirected,21030,,1.0
冶炼,稀土,Undirected,20915,,3.0
胰岛素,能量,Undirected,20917,,1.0
双螺旋,降解,Undirected,20920,,1.0
化工厂,铅,Undirected,20922,,1.0
镁,铝,Undirected,20924,,1.0
硫酸铁,碳,Undirected,20931,,1.0
国际单位,普朗克常数,Undirected,20936,,1.0
金,铜,Undirected,20942,,1.0
聚合物,化学反应,Undirected,20974,,1.0
危险物,剪应力,Undirected,20977,,1.0
铱,铂,Undirected,20982,,1.0
激素,血糖,Undirected,21029,,1.0
胆固醇,抗体,Undirected,20987,,1.0
不饱和脂肪酸,合成,Undirected,20989,,1.0
光致发光,白铜,Undirected,20991,,1.0
富集,铁,Undirected,20992,,1.0
脱髓鞘,神经元,Undirected,20996,,1.0
疏水性,亲水性,Undirected,21037,,1.0
辉石,玄武岩,Undirected,21011,,1.0
碳纳米管,温度,Undirected,21013,,1.0
血凝素,抗体,Undirected,21020,,1.0
黏土,火山岩,Undirected,21033,,1.0
衍射,硅,Undirected,21056,,1.0
沉淀,放射性,Undirected,21058,,1.0
