Source,Target,Type,id,label,timeset,weight
再生资源,有色金属,Undirected,7656,,,1.0
金,发酵,Undirected,7658,,,2.0
盐,发酵,Undirected,7671,,,1.0
页岩气,营养,Undirected,7696,,,1.0
沉淀,升华,Undirected,7719,,,2.0
水泥,砝码,Undirected,7738,,,1.0
燃烧,电子,Undirected,7742,,,1.0
碳,含量,Undirected,7749,,,3.0
汽油,加热,Undirected,7765,,,1.0
加热,燃料,Undirected,7780,,,1.0
铝土矿,化学,Undirected,7783,,,1.0
水泥,发酵,Undirected,7797,,,1.0
碳,沼气,Undirected,7818,,,1.0
镁,化学,Undirected,7819,,,1.0
金,盐,Undirected,7826,,,3.0
塑料,食品添加剂,Undirected,7832,,,1.0
水,铜,Undirected,7837,,,2.0
玻璃,柴油,Undirected,7841,,,1.0
碳,焊接,Undirected,7843,,,1.0
水,气体,Undirected,7866,,,1.0
金,钢铁,Undirected,7875,,,4.0
食品添加剂,发酵,Undirected,7883,,,1.0
碳,钢铁,Undirected,7917,,,1.0
天然气,页岩气,Undirected,7929,,,3.0
分解,肥料,Undirected,7937,,,1.0
发酵,电子,Undirected,7941,,,2.0
盐,分解,Undirected,7949,,,1.0
不锈钢,砝码,Undirected,7955,,,1.0
能源,大气污染,Undirected,7960,,,1.0
维生素,能量,Undirected,7968,,,1.0
营养,蛋白质,Undirected,7969,,,4.0
塑料,沉淀,Undirected,7972,,,1.0
聚合,电池,Undirected,7973,,,1.0
塑料,电子,Undirected,7979,,,2.0
废水,二氧化硫,Undirected,7987,,,1.0
废气,气体,Undirected,7997,,,1.0
空气质量,重金属,Undirected,8001,,,1.0
分子,能源,Undirected,8008,,,1.0
水,银,Undirected,8011,,,1.0
页岩气,石油,Undirected,8022,,,4.0
能量,天然,Undirected,8032,,,1.0
废水,金,Undirected,8035,,,1.0
升华,银,Undirected,8053,,,1.0
金,分解,Undirected,8058,,,2.0
铜,电子,Undirected,8064,,,3.0
食品添加剂,营养,Undirected,8068,,,1.0
镁,铁,Undirected,8069,,,2.0
电子,锰,Undirected,8073,,,1.0
大气污染,电子,Undirected,8075,,,1.0
化学,空气质量,Undirected,8076,,,1.0
发酵,成分,Undirected,8089,,,1.0
金,二氧化硫,Undirected,8107,,,1.0
天然气,砝码,Undirected,8108,,,1.0
铁,铝土矿,Undirected,8115,,,3.0
食用油,陶瓷,Undirected,8119,,,1.0
有色金属,银,Undirected,8123,,,1.0
化学,天然,Undirected,8130,,,1.0
升华,电子,Undirected,8138,,,1.0
能量,加热,Undirected,8140,,,1.0
燃料,陶瓷,Undirected,8141,,,1.0
能量,成分,Undirected,8150,,,1.0
玻璃,能源,Undirected,8151,,,1.0
页岩气,回流,Undirected,8154,,,1.0
水泥,铝,Undirected,8155,,,2.0
冶炼,有色金属,Undirected,8161,,,2.0
化肥,燃烧,Undirected,8163,,,1.0
含量,燃料,Undirected,8165,,,1.0
油脂,肥料,Undirected,8178,,,1.0
废水,天然气,Undirected,8183,,,1.0
钢铁,空气质量,Undirected,8187,,,3.0
铜,能源,Undirected,8196,,,1.0
分解,水泥,Undirected,8203,,,1.0
金,矿泉水,Undirected,8206,,,1.0
富集,盐,Undirected,8208,,,1.0
镁,有色金属,Undirected,8209,,,1.0
冶炼,铜,Undirected,8215,,,2.0
抗生素,添加剂,Undirected,8219,,,1.0
聚合,水,Undirected,8222,,,1.0
铁,银,Undirected,8226,,,1.0
页岩气,水,Undirected,8244,,,1.0
塑料,水,Undirected,8253,,,2.0
金,肥料,Undirected,8269,,,1.0
石油,银,Undirected,8276,,,1.0
石油,矿泉水,Undirected,8279,,,2.0
回流,分解,Undirected,8286,,,1.0
煤,太阳能,Undirected,8295,,,1.0
化学需氧量,空气质量,Undirected,8299,,,1.0
碳,废水,Undirected,8300,,,2.0
再生资源,添加剂,Undirected,8304,,,1.0
铁,盐,Undirected,8307,,,1.0
金,PM2.5,Undirected,8316,,,1.0
汽油,电子,Undirected,8317,,,1.0
天然,燃料,Undirected,8319,,,1.0
